fy,as_submitted,settled,settled_w_audit,reopened,amended,total_hosp10_reports
2010,60,999,75,1181,10,2325
2011,109,2339,167,3525,12,6152
2012,65,2400,179,3579,4,6227
2013,14,2633,177,3422,2,6248
2014,8,3605,219,2413,5,6250
2015,11,3981,232,2029,4,6257
2016,11,4113,284,1798,5,6211
2017,12,4347,299,1515,2,6175
2018,54,4405,341,1325,36,6161
2019,133,4726,331,854,80,6124
2020,267,4899,286,399,209,6060
2021,513,4817,161,184,382,6057
2022,1366,3753,41,74,832,6066
2023,3099,1991,17,19,979,6105
2024,5144,384,0,2,295,5825
2025,60,13,0,0,2,75
Sum,10926,49405,2809,22319,2859,88318
