fy,hosp10_rpt_count,alpha_count,nmrc_count,rollup_count
2010,2325,1377199,7606381,746778
2011,6152,3611847,19852254,1988655
2012,6227,3654425,20180289,2010852
2013,6248,3719420,20403360,2028491
2014,6250,3707183,20111131,2028647
2015,6257,3719142,20090209,2023097
2016,6211,3734388,19998471,2012062
2017,6175,3732792,20028989,2002229
2018,6161,3742117,20105983,1996822
2019,6124,3753852,19993983,1975238
2020,6060,3748038,19739349,1946676
2021,6057,3741557,19647052,1938328
2022,6066,3735096,19516751,1926680
2023,6105,3765093,19539796,1919975
2024,5825,3596705,18704766,1842797
2025,75,35068,199412,19651
