PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
341315,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,,7355835,27185298
340071,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,28085465,40840676,79343245
100315,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,49058618,114592158,167196783
110780,2025-01-01 00:00:00,2025-06-15 00:00:00,As Submitted,12971505,8398008,60176265
100047,2024-10-01 00:00:00,2025-02-27 00:00:00,As Submitted,8623700,422605,12180176
100316,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,47904168,130003705,148087723
340028,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,205994409,379462065,396877731
314027,2024-10-15 00:00:00,2024-12-31 00:00:00,Settled,2170617,368311,
300034,2024-10-01 00:00:00,2025-01-31 00:00:00,As Submitted,141526460,235291146,297666673
131308,2024-10-01 00:00:00,2025-01-10 00:00:00,As Submitted,,12961,1960122
100019,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,184170784,698848815,273461628
670336,2024-12-24 00:00:00,2025-06-01 00:00:00,As Submitted,4918695,475300,68487661
100053,2024-10-30 00:00:00,2024-12-31 00:00:00,As Submitted,37224583,233289441,178930069
430099,2024-11-01 00:00:00,2025-01-31 00:00:00,As Submitted,3915159,9758301,
100187,2024-10-30 00:00:00,2024-12-31 00:00:00,As Submitted,85980525,562206036,213175094
110038,2024-10-01 00:00:00,2025-09-30 00:00:00,As Submitted,290155432,372578111,689118158
064030,2025-03-06 00:00:00,2025-06-30 00:00:00,As Submitted,10515376,19035631,1053000
250099,2024-10-01 00:00:00,2025-04-30 00:00:00,As Submitted,36217984,9435033,74402072
193094,2025-01-01 00:00:00,2025-03-27 00:00:00,As Submitted,1636857,2558109,
260113,2024-10-01 00:00:00,2025-09-30 00:00:00,As Submitted,109761354,160318282,352114896
030121,2024-10-03 00:00:00,2024-12-31 00:00:00,As Submitted,53125909,83590380,99498359
340070,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,71293622,123259148,165229827
260070,2025-01-01 00:00:00,2025-05-20 00:00:00,As Submitted,12473767,4627571,18052749
450851,2025-02-01 00:00:00,2025-06-30 00:00:00,As Submitted,63855034,131357564,288307250
230080,2024-10-01 00:00:00,2025-09-30 00:00:00,As Submitted,157770521,58459861,340757456
234011,2025-01-01 00:00:00,2025-02-22 00:00:00,As Submitted,4015966,4724273,
271319,2024-11-01 00:00:00,2025-06-30 00:00:00,As Submitted,,2071006,8074977
250038,2025-05-01 00:00:00,2025-06-30 00:00:00,As Submitted,8174944,4857653,20115324
361313,2025-01-01 00:00:00,2025-06-30 00:00:00,As Submitted,,2840003,26893664
030037,2024-10-03 00:00:00,2024-12-31 00:00:00,As Submitted,12057260,17603866,37490994
260160,2025-01-01 00:00:00,2025-06-30 00:00:00,As Submitted,28000577,8308134,68917104
100177,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,49820980,108929300,125174111
531318,2024-12-06 00:00:00,2025-06-30 00:00:00,Amended,,22256514,116722817
340091,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,381725725,556362902,810982280
450661,2024-10-17 00:00:00,2024-12-31 00:00:00,As Submitted,26595902,48586914,54720354
050125,2025-01-01 00:00:00,2025-03-31 00:00:00,As Submitted,68914596,531709874,388689976
490005,2024-10-01 00:00:00,2025-09-30 00:00:00,As Submitted,770730177,1088122392,1122132241
250038,2025-01-01 00:00:00,2025-04-30 00:00:00,As Submitted,12497305,40775563,105135427
100092,2024-10-23 00:00:00,2025-04-21 00:00:00,As Submitted,96400305,279080756,272317731
100029,2024-10-30 00:00:00,2024-12-31 00:00:00,As Submitted,72138497,374217719,230061614
100183,2024-10-30 00:00:00,2024-12-31 00:00:00,As Submitted,30935569,103167237,157814949
330060,2024-10-23 00:00:00,2024-12-31 00:00:00,As Submitted,18977059,7279182,37816797
250124,2025-01-01 00:00:00,2025-04-30 00:00:00,As Submitted,5655872,2888135,18036444
200052,2024-10-01 00:00:00,2024-11-20 00:00:00,Settled,8186083,4671113,9947315
330799,2024-11-12 00:00:00,2024-12-31 00:00:00,Settled,1406267,,747576
224047,2025-01-01 00:00:00,2025-06-30 00:00:00,As Submitted,22168477,49991649,7369482
010008,2024-10-01 00:00:00,2025-02-10 00:00:00,As Submitted,4754801,4204036,9697357
250174,2024-10-15 00:00:00,2024-12-31 00:00:00,As Submitted,1204593,,1694386
342014,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,11044369,15619738,13630915
100107,2025-01-01 00:00:00,2025-02-26 00:00:00,As Submitted,5826897,26964032,34854977
104087,2025-03-01 00:00:00,2025-06-30 00:00:00,As Submitted,3447999,748586,
140068,2025-04-01 00:00:00,2025-06-30 00:00:00,As Submitted,19284228,17475702,10796527
363048,2024-12-18 00:00:00,2025-03-31 00:00:00,As Submitted,3427838,2115155,
141353,2024-10-01 00:00:00,2025-09-30 00:00:00,As Submitted,34862503,12806123,64050745
111333,2024-10-01 00:00:00,2025-09-30 00:00:00,As Submitted,28313803,16870942,63120745
450653,2024-10-17 00:00:00,2024-12-31 00:00:00,As Submitted,9018752,5630055,19553993
103067,2024-10-29 00:00:00,2025-07-31 00:00:00,Amended,16895497,73586327,
340129,2024-10-01 00:00:00,2025-03-31 00:00:00,As Submitted,60673537,124461623,332341733
510012,2024-10-01 00:00:00,2025-09-30 00:00:00,As Submitted,60948037,28025986,150113172
330211,2025-01-01 00:00:00,2025-03-25 00:00:00,Settled,4379942,5814381,
340188,2024-10-01 00:00:00,2024-12-31 00:00:00,As Submitted,12135556,7003695,59734883
524045,2025-01-01 00:00:00,2025-06-30 00:00:00,As Submitted,9086460,4349586,
150072,2025-01-01 00:00:00,2025-06-30 00:00:00,As Submitted,45265675,16506583,134085952
100093,2024-10-01 00:00:00,2025-09-30 00:00:00,As Submitted,603381465,1659915651,3017065513
450498,2024-10-01 00:00:00,2025-04-07 00:00:00,Settled,7434420,1141396,14071779
391318,2024-12-24 00:00:00,2025-06-30 00:00:00,As Submitted,,1836581,38258470
260110,2025-01-01 00:00:00,2025-06-30 00:00:00,As Submitted,161115721,198444775,369912067
